Username,Date,Check_in_time,Check_out_time,Late_check_in,early_check_out
sahil,1,10:05:00,19:05:00,False,False
sahil,2,10:05:01,19:05:01,False,False
sahil,3,10:10:02,19:05:02,False,False
sahil,4,10:15:50,19:05:03,True,False
sahil,5,10:05:05,19:05:04,False,False
sahil,7,10:05:06,19:05:05,False,False
sahil,8,10:05:07,19:05:06,False,False
sahil,9,10:05:08,19:05:07,False,False
sahil,10,10:05:09,19:05:08,False,False
sahil,11,10:05:10,19:05:09,False,False
sahil,12,10:16:11,19:05:10,True,False
sahil,14,10:05:13,19:05:11,False,False
sahil,15,10:05:14,19:05:12,False,False
sahil,16,10:05:15,17:05:15,False,True
sahil,17,10:05:16,15:00:16,False,True
sahil,18,10:05:17,19:05:17,False,False
sahil,19,10:05:18,19:05:18,False,False
sahil,21,10:30:20,19:05:19,True,False
sahil,22,10:05:21,19:05:20,False,False
sahil,23,10:05:22,19:05:21,False,False
sahil,24,10:05:23,19:05:22,False,False
sahil,25,10:05:24,19:05:23,False,False
sahil,26,10:05:25,19:05:24,False,False
sahil,28,11:05:27,19:05:25,True,False
dummy,1,10:00:15,19:10:00,False,False
dummy,2,10:00:16,19:10:01,False,False
dummy,3,10:00:17,19:10:02,False,False
dummy,4,10:00:18,19:10:03,False,False
dummy,5,10:00:19,19:10:04,False,False
dummy,7,10:00:20,19:10:05,False,False
dummy,8,10:00:21,19:10:06,False,False
dummy,9,10:00:22,19:10:07,False,False
dummy,10,10:00:23,19:10:08,False,False
dummy,11,10:00:24,19:10:09,False,False
dummy,12,10:00:25,19:10:10,False,False
dummy,14,10:00:26,19:10:11,False,False
dummy,15,10:00:27,19:10:12,False,False
dummy,21,10:00:28,19:10:13,False,False
dummy,22,10:00:29,19:10:14,False,False
dummy,23,10:00:30,19:10:15,False,False
dummy,24,10:00:31,19:10:16,False,False
dummy,25,10:00:32,19:10:17,False,False
dummy,26,10:00:33,19:10:18,False,False
dummy,28,11:00:34,19:10:19,True,False
Alpa,1,10:08:05,19:10:20,False,False
Alpa,2,10:08:06,19:10:21,False,False
Alpa,5,10:08:09,19:10:22,False,True
Alpa,7,10:08:11,19:10:23,False,False
Alpa,8,10:08:12,19:10:24,False,False
Alpa,9,10:08:13,19:10:25,False,False
Alpa,10,10:08:14,19:10:26,False,False
Alpa,11,10:08:15,19:10:27,False,False
Alpa,12,10:08:16,19:10:28,False,False
Alpa,14,10:08:18,19:10:29,False,False
Alpa,15,10:08:19,19:10:30,False,False
Alpa,16,10:08:20,15:45:31,False,True
Alpa,17,11:08:21,19:10:32,True,False
Alpa,18,10:20:22,19:10:33,True,False
Alpa,19,10:08:23,19:10:34,False,False
Alpa,21,10:08:25,19:10:35,False,False
Alpa,22,10:08:26,19:10:36,False,False
Alpa,23,10:08:27,19:10:37,False,False
Alpa,24,10:08:28,19:10:38,False,False
Alpa,25,10:08:29,19:10:39,False,False
Alpa,26,10:08:30,19:10:40,False,False
aakarsh,1,11:04:31,19:10:41,True,False
aakarsh,2,11:04:32,19:10:42,True,False
aakarsh,3,11:05:33,19:10:43,True,False
aakarsh,4,11:04:34,19:10:44,True,False
aakarsh,5,11:04:35,19:10:45,True,False
aakarsh,7,11:04:36,19:10:46,True,False
aakarsh,8,10:04:38,19:10:47,False,False
aakarsh,9,10:04:39,19:10:48,False,False
aakarsh,10,10:04:40,19:10:49,False,False
aakarsh,11,10:04:41,19:10:50,False,False
aakarsh,12,10:04:42,19:10:51,False,False
aakarsh,14,10:04:44,19:10:52,False,False
aakarsh,15,10:04:45,19:10:53,False,False
aakarsh,16,10:04:46,19:10:54,False,False
aakarsh,17,10:04:47,19:10:55,False,False
aakarsh,18,10:04:48,19:10:56,False,False
aakarsh,19,10:04:49,19:05:15,False,False
aakarsh,21,10:04:51,15:01:10,False,True
aakarsh,22,10:04:52,19:01:23,False,False
aakarsh,23,10:04:53,19:01:24,False,False
aakarsh,24,10:04:54,19:01:25,False,False
aakarsh,25,10:04:55,19:01:26,False,False
aakarsh,26,10:04:56,19:01:27,False,False
aakarsh,28,10:04:58,19:01:28,False,False
Samir,1,10:14:00,19:01:29,False,False
Samir,2,10:14:01,19:01:30,False,False
Samir,3,10:14:02,19:01:31,False,False
Samir,4,10:14:03,19:01:32,False,False
Samir,5,10:14:04,19:01:33,False,False
Samir,11,10:14:10,19:01:34,False,False
Samir,12,10:14:11,19:01:35,False,False
Samir,14,10:14:13,19:01:36,False,False
Samir,15,10:14:14,19:01:37,False,False
Samir,16,10:14:15,19:01:38,False,False
Samir,17,10:14:16,19:01:39,False,False
Samir,18,10:14:17,19:01:40,False,False
Samir,19,10:14:18,19:01:41,False,False
Samir,21,10:14:20,19:01:42,False,False
Samir,22,10:14:21,19:01:43,False,False
Samir,23,10:14:22,19:01:44,False,False
Samir,24,10:14:23,19:01:45,False,False
Samir,25,10:14:24,19:01:46,False,False
Samir,26,10:14:25,19:01:47,False,False
Samir,28,10:14:27,19:01:48,False,False
InamdarAakarsh,1,09:45:00,18:00:28,False,True
InamdarAakarsh,2,10:45:01,19:01:29,True,False
InamdarAakarsh,3,10:05:02,19:01:30,False,False
InamdarAakarsh,4,10:05:03,19:01:31,False,False
InamdarAakarsh,5,10:05:04,19:01:32,False,False
InamdarAakarsh,7,12:05:06,19:01:33,True,True
InamdarAakarsh,8,10:05:07,19:01:34,False,False
InamdarAakarsh,9,10:05:08,19:01:35,False,False
InamdarAakarsh,10,10:05:09,19:01:36,False,False
InamdarAakarsh,11,10:05:10,19:01:37,False,False
InamdarAakarsh,12,10:20:11,19:01:38,True,False
InamdarAakarsh,14,10:05:13,19:01:39,False,False
InamdarAakarsh,15,10:05:14,19:01:40,False,False
InamdarAakarsh,16,10:05:15,19:01:41,False,False
InamdarAakarsh,17,10:05:16,19:01:42,False,False
InamdarAakarsh,18,10:05:17,19:01:43,False,False
InamdarAakarsh,19,10:05:18,19:01:44,False,False
InamdarAakarsh,21,10:05:20,19:01:45,False,False
InamdarAakarsh,22,10:05:21,19:01:46,False,False
InamdarAakarsh,23,10:05:22,19:01:47,False,False
InamdarAakarsh,24,10:05:23,19:01:48,False,False
InamdarAakarsh,25,10:05:24,19:01:49,False,False
InamdarAakarsh,26,10:05:25,19:01:50,False,False
InamdarAakarsh,28,10:05:27,19:01:51,False,False
CE058,1,10:05:28,19:01:52,False,False
CE058,2,10:05:29,19:01:53,False,False
CE058,3,10:05:30,19:01:54,False,False
CE058,4,10:05:31,19:01:55,False,False
CE058,5,10:05:32,19:05:00,False,False
CE058,7,10:05:34,19:05:01,False,False
CE058,8,10:05:35,19:05:02,False,False
CE058,9,10:05:36,19:05:03,False,False
CE058,10,10:05:37,19:05:04,False,False
CE058,11,10:05:38,19:05:05,False,False
CE058,12,10:05:39,19:05:06,False,False
CE058,14,10:05:41,19:05:07,False,False
CE058,21,10:05:48,19:05:08,False,False
CE058,22,10:05:49,19:05:09,False,False
CE058,23,10:05:50,19:05:10,False,False
CE058,24,10:05:51,19:05:11,False,False
CE058,25,10:05:52,19:05:12,False,False
CE058,26,10:05:53,19:05:13,False,False
CE058,28,10:05:55,19:05:14,False,False
Vatsal,1,11:01:56,19:05:15,True,False
Vatsal,2,11:01:57,19:05:16,True,False
Vatsal,3,11:01:58,19:05:17,True,False
Vatsal,4,11:01:59,19:05:18,True,False
Vatsal,5,11:01:60,19:05:19,True,False
Vatsal,7,11:01:62,19:05:20,True,False
Vatsal,8,11:01:63,19:05:21,True,False
Vatsal,9,11:01:64,19:05:22,True,False
Vatsal,10,11:01:65,19:05:23,True,False
Vatsal,11,11:01:66,19:10:15,True,False
Vatsal,12,11:01:67,19:10:16,True,False
Vatsal,14,11:01:69,19:10:17,True,False
Vatsal,15,11:01:70,19:10:18,True,False
Vatsal,16,11:01:71,19:10:19,True,False
Vatsal,17,11:01:72,19:10:20,True,False
Vatsal,18,11:01:73,19:10:21,True,False
Vatsal,19,11:01:74,19:10:22,True,False
Vatsal,21,11:01:76,19:10:23,True,False
Vatsal,22,11:01:77,19:10:24,True,False
Vatsal,23,11:01:78,19:10:25,True,False
Vatsal,24,11:01:79,19:10:26,True,False
Vatsal,25,11:01:80,19:10:27,True,False
Vatsal,26,11:01:81,19:10:28,True,False
Vatsal,28,11:01:83,19:10:29,True,False
